Id,ActivityHour,Calories,TotalIntensity,AverageIntensity,StepTotal,Hour
1503960366,2016-03-12 00:00:00,48,0,0.0,0,0
1503960366,2016-03-12 01:00:00,48,0,0.0,0,1
1503960366,2016-03-12 02:00:00,48,0,0.0,0,2
1503960366,2016-03-12 03:00:00,48,0,0.0,0,3
1503960366,2016-03-12 04:00:00,48,0,0.0,0,4
1503960366,2016-03-12 05:00:00,48,0,0.0,0,5
1503960366,2016-03-12 06:00:00,48,0,0.0,0,6
1503960366,2016-03-12 07:00:00,48,0,0.0,0,7
1503960366,2016-03-12 08:00:00,48,0,0.0,0,8
1503960366,2016-03-12 09:00:00,49,1,0.016667,8,9
1503960366,2016-03-12 10:00:00,89,26,0.433333,551,10
1503960366,2016-03-12 11:00:00,134,49,0.816667,1764,11
1503960366,2016-03-12 12:00:00,130,47,0.783333,1259,12
1503960366,2016-03-12 13:00:00,81,20,0.333333,253,13
1503960366,2016-03-12 14:00:00,254,121,2.016667,4470,14
1503960366,2016-03-12 15:00:00,271,129,2.15,4919,15
1503960366,2016-03-12 16:00:00,141,42,0.7,1905,16
1503960366,2016-03-12 17:00:00,104,20,0.333333,1038,17
1503960366,2016-03-12 18:00:00,54,2,0.033333,14,18
1503960366,2016-03-12 19:00:00,97,30,0.5,606,19
1503960366,2016-03-12 20:00:00,58,4,0.066667,56,20
1503960366,2016-03-12 21:00:00,100,29,0.483333,782,21
1503960366,2016-03-12 22:00:00,123,41,0.683333,1132,22
1503960366,2016-03-12 23:00:00,111,35,0.583333,918,23
1503960366,2016-03-13 00:00:00,55,3,0.05,39,0
1503960366,2016-03-13 01:00:00,48,0,0.0,0,1
1503960366,2016-03-13 02:00:00,50,1,0.016667,27,2
1503960366,2016-03-13 03:00:00,48,0,0.0,0,3
1503960366,2016-03-13 04:00:00,48,0,0.0,0,4
1503960366,2016-03-13 05:00:00,48,0,0.0,0,5
1503960366,2016-03-13 06:00:00,48,0,0.0,0,6
1503960366,2016-03-13 07:00:00,49,0,0.0,0,7
1503960366,2016-03-13 08:00:00,49,1,0.016667,6,8
1503960366,2016-03-13 09:00:00,56,5,0.083333,73,9
1503960366,2016-03-13 10:00:00,189,85,1.416667,2850,10
1503960366,2016-03-13 11:00:00,270,130,2.166667,4854,11
1503960366,2016-03-13 12:00:00,52,3,0.05,24,12
1503960366,2016-03-13 13:00:00,66,9,0.15,118,13
1503960366,2016-03-13 14:00:00,57,3,0.05,19,14
1503960366,2016-03-13 15:00:00,89,23,0.383333,510,15
1503960366,2016-03-13 16:00:00,91,25,0.416667,510,16
1503960366,2016-03-13 17:00:00,61,5,0.083333,96,17
1503960366,2016-03-13 18:00:00,237,110,1.833333,4100,18
1503960366,2016-03-13 19:00:00,146,57,0.95,1756,19
1503960366,2016-03-13 20:00:00,87,25,0.416667,477,20
1503960366,2016-03-13 21:00:00,66,9,0.15,147,21
1503960366,2016-03-13 22:00:00,72,17,0.283333,214,22
1503960366,2016-03-13 23:00:00,118,46,0.766667,1286,23
1503960366,2016-03-14 00:00:00,56,4,0.066667,54,0
1503960366,2016-03-14 01:00:00,54,3,0.05,53,1
1503960366,2016-03-14 02:00:00,49,0,0.0,0,2
1503960366,2016-03-14 03:00:00,48,0,0.0,0,3
1503960366,2016-03-14 04:00:00,48,0,0.0,0,4
1503960366,2016-03-14 05:00:00,49,0,0.0,0,5
1503960366,2016-03-14 06:00:00,48,0,0.0,0,6
1503960366,2016-03-14 07:00:00,53,3,0.05,53,7
1503960366,2016-03-14 08:00:00,68,14,0.233333,212,8
1503960366,2016-03-14 09:00:00,199,61,1.016667,2832,9
1503960366,2016-03-14 10:00:00,59,4,0.066667,43,10
1503960366,2016-03-14 11:00:00,72,14,0.233333,220,11
1503960366,2016-03-14 12:00:00,66,9,0.15,181,12
1503960366,2016-03-14 13:00:00,54,1,0.016667,12,13
1503960366,2016-03-14 14:00:00,59,6,0.1,44,14
1503960366,2016-03-14 15:00:00,71,13,0.216667,205,15
1503960366,2016-03-14 16:00:00,68,11,0.183333,152,16
1503960366,2016-03-14 17:00:00,76,17,0.283333,226,17
1503960366,2016-03-14 18:00:00,96,29,0.483333,516,18
1503960366,2016-03-14 19:00:00,100,33,0.55,559,19
1503960366,2016-03-14 20:00:00,124,45,0.75,1104,20
1503960366,2016-03-14 21:00:00,67,12,0.2,252,21
1503960366,2016-03-14 22:00:00,48,0,0.0,0,22
1503960366,2016-03-14 23:00:00,198,90,1.5,3305,23
1503960366,2016-03-15 00:00:00,56,3,0.05,33,0
1503960366,2016-03-15 01:00:00,55,2,0.033333,20,1
1503960366,2016-03-15 02:00:00,54,4,0.066667,60,2
1503960366,2016-03-15 03:00:00,48,0,0.0,0,3
1503960366,2016-03-15 04:00:00,49,1,0.016667,7,4
1503960366,2016-03-15 05:00:00,48,0,0.0,0,5
1503960366,2016-03-15 06:00:00,49,1,0.016667,4,6
1503960366,2016-03-15 07:00:00,49,1,0.016667,11,7
1503960366,2016-03-15 08:00:00,91,28,0.466667,470,8
1503960366,2016-03-15 09:00:00,148,49,0.816667,1967,9
1503960366,2016-03-15 10:00:00,92,17,0.283333,729,10
1503960366,2016-03-15 11:00:00,104,34,0.566667,659,11
1503960366,2016-03-15 12:00:00,142,49,0.816667,1787,12
1503960366,2016-03-15 13:00:00,77,16,0.266667,333,13
1503960366,2016-03-15 14:00:00,107,26,0.433333,980,14
1503960366,2016-03-15 15:00:00,77,14,0.233333,371,15
1503960366,2016-03-15 16:00:00,96,27,0.45,605,16
1503960366,2016-03-15 17:00:00,90,19,0.316667,623,17
1503960366,2016-03-15 18:00:00,82,15,0.25,467,18
1503960366,2016-03-15 19:00:00,75,16,0.266667,282,19
1503960366,2016-03-15 20:00:00,207,86,1.433333,3319,20
1503960366,2016-03-15 21:00:00,131,35,0.583333,1558,21
1503960366,2016-03-15 22:00:00,108,37,0.616667,786,22
1503960366,2016-03-15 23:00:00,76,15,0.25,313,23
1503960366,2016-03-16 00:00:00,48,0,0.0,0,0
1503960366,2016-03-16 01:00:00,48,0,0.0,0,1
1503960366,2016-03-16 02:00:00,50,1,0.016667,4,2
1503960366,2016-03-16 03:00:00,48,0,0.0,0,3
1503960366,2016-03-16 04:00:00,48,0,0.0,0,4
1503960366,2016-03-16 05:00:00,49,0,0.0,0,5
1503960366,2016-03-16 06:00:00,48,0,0.0,0,6
1503960366,2016-03-16 07:00:00,56,6,0.1,70,7
1503960366,2016-03-16 08:00:00,91,27,0.45,490,8
1503960366,2016-03-16 09:00:00,125,27,0.45,1513,9
1503960366,2016-03-16 10:00:00,73,12,0.2,224,10
1503960366,2016-03-16 11:00:00,105,36,0.6,874,11
1503960366,2016-03-16 12:00:00,124,34,0.566667,1451,12
1503960366,2016-03-16 13:00:00,79,16,0.266667,329,13
1503960366,2016-03-16 14:00:00,61,3,0.05,61,14
1503960366,2016-03-16 15:00:00,86,19,0.316667,456,15
1503960366,2016-03-16 16:00:00,103,28,0.466667,775,16
1503960366,2016-03-16 17:00:00,122,43,0.716667,1446,17
1503960366,2016-03-16 18:00:00,166,74,1.233333,2407,18
1503960366,2016-03-16 19:00:00,59,7,0.116667,103,19
1503960366,2016-03-16 20:00:00,72,16,0.266667,447,20
1503960366,2016-03-16 21:00:00,146,49,0.816667,2120,21
1503960366,2016-03-16 22:00:00,78,18,0.3,273,22
1503960366,2016-03-16 23:00:00,82,18,0.3,455,23
1503960366,2016-03-17 00:00:00,70,11,0.183333,263,0
1503960366,2016-03-17 01:00:00,50,1,0.016667,23,1
1503960366,2016-03-17 02:00:00,49,1,0.016667,7,2
1503960366,2016-03-17 03:00:00,48,0,0.0,0,3
1503960366,2016-03-17 04:00:00,48,0,0.0,0,4
1503960366,2016-03-17 05:00:00,48,0,0.0,0,5
1503960366,2016-03-17 06:00:00,49,0,0.0,0,6
1503960366,2016-03-17 07:00:00,50,1,0.016667,6,7
1503960366,2016-03-17 08:00:00,67,11,0.183333,210,8
1503960366,2016-03-17 09:00:00,125,27,0.45,1530,9
1503960366,2016-03-17 10:00:00,69,11,0.183333,124,10
1503960366,2016-03-17 11:00:00,148,54,0.9,1803,11
1503960366,2016-03-17 12:00:00,70,11,0.183333,113,12
1503960366,2016-03-17 13:00:00,113,23,0.383333,1124,13
1503960366,2016-03-17 14:00:00,119,25,0.416667,1160,14
1503960366,2016-03-17 15:00:00,86,20,0.333333,409,15
1503960366,2016-03-17 16:00:00,94,24,0.4,631,16
1503960366,2016-03-17 17:00:00,66,5,0.083333,203,17
1503960366,2016-03-17 18:00:00,76,15,0.25,396,18
1503960366,2016-03-17 19:00:00,158,64,1.066667,2165,19
1503960366,2016-03-17 20:00:00,75,16,0.266667,147,20
1503960366,2016-03-17 21:00:00,146,49,0.816667,2016,21
1503960366,2016-03-17 22:00:00,97,31,0.516667,521,22
1503960366,2016-03-17 23:00:00,118,35,0.583333,1176,23
1503960366,2016-03-18 00:00:00,76,13,0.216667,389,0
1503960366,2016-03-18 01:00:00,58,6,0.1,112,1
1503960366,2016-03-18 02:00:00,48,0,0.0,0,2
1503960366,2016-03-18 03:00:00,48,0,0.0,0,3
1503960366,2016-03-18 04:00:00,48,0,0.0,0,4
1503960366,2016-03-18 05:00:00,49,1,0.016667,4,5
1503960366,2016-03-18 06:00:00,51,2,0.033333,19,6
1503960366,2016-03-18 07:00:00,49,0,0.0,0,7
1503960366,2016-03-18 08:00:00,67,11,0.183333,172,8
1503960366,2016-03-18 09:00:00,147,36,0.6,1952,9
1503960366,2016-03-18 10:00:00,73,12,0.2,279,10
1503960366,2016-03-18 11:00:00,72,12,0.2,207,11
1503960366,2016-03-18 12:00:00,64,4,0.066667,145,12
1503960366,2016-03-18 13:00:00,68,7,0.116667,242,13
1503960366,2016-03-18 14:00:00,207,86,1.433333,3160,14
1503960366,2016-03-18 15:00:00,101,33,0.55,852,15
1503960366,2016-03-18 16:00:00,76,14,0.233333,270,16
